sid,OH lengths
78202,"[1.5370638412752886, 0.9724426814718458, 1.0090236877860075, 1.0240922424868775, 0.9749292430671769, 7.71451197931393, 0.9736110792456035, 0.9762185988753228]"
34083,"[0.978262325647888, 0.9757906753669501]"
82967,[0.9705013526675553]
10596,"[0.9703452635887551, 0.9702538096893002]"
1332,[0.9753466414615806]
3507,[0.9732891925048771]
27812,"[0.9787349133386178, 0.9698473099457741]"
34223,[0.9726160064358068]
35601,[0.9761956094250455]
74547,"[0.9709997270958426, 0.9691901681263052, 3.536490106465682, 0.9648412869862273]"
28093,[7.901184682441113]
37466,[0.9711801286764367]
26764,[0.9721275513047625]
33927,[0.9727984635781579]
1289,"[0.9781303162459246, 0.9791004362991382]"
25897,[0.9973987251926297]
72600,"[8.538470476418965, 0.9736698165398388, 0.9885268921619638, 0.9737718786742408]"
70617,"[0.9767739774476504, 0.9733143146356854, 0.9706291176606077, 0.9746513013386924]"
8645,"[1.0245245415615656, 1.0265996423894814, 8.073282484430246, 0.9733776417386573, 1.5406912073815335, 0.98098853495772, 8.71343286419026]"
3726,[0.9850584488381082]
2064,"[8.647187744550001, 0.9770938446256604, 8.50315825021542]"
40001,[0.9783688273965103]
6722,[0.981400403008335]
121,[0.9698595074957721]
16167,[0.9769587371223296]
19932,[0.9696233877911817]
32583,"[0.9745074162481708, 0.9685533298216485, 0.9697409698866128]"
8813,[0.976643246600134]
556,"[0.9781659297653869, 0.9773313136990288, 11.228709752679405]"
23148,[0.9830946260621828]
83196,[0.9806845391589628]
28118,[0.9717081978619168]
3803,[0.9686762386824133]
26959,"[0.9728497467944318, 0.9729625989117551, 0.9698864499687764]"
69143,[0.9710865580298912]
2681,"[0.9712525116833234, 0.9694310926104446]"
44634,"[0.97103147743018, 0.9713775008235719]"
36755,"[0.9791000697040012, 0.9731479293005341]"
76172,"[19.103502932469016, 0.9821404296731292]"
42984,[4.4540519335175555]
38823,[7.632743566285717]
24939,[0.9709739869146051]
70540,[0.9695373727714527]
