sid,OH length 1,OH length 2,OO length,OOH angle 1,OOH angle 2
33402,[1.9102901381063184],[0.9807893962183832],[1.4920864784480874],[30.465361194957268],[99.06103185051138]
77193,[2.9653589525956883],[2.244158516438905],[1.307191371544584],[45.16749275393199],[110.43390390438292]
78328,[3.27011377219027],[2.1996961601388336],[1.30545870094433],[27.704110848795448],[136.2797228661158]
5513,[2.2370557950636663],[0.9770025248221644],[2.5959029047035784],[21.735767509898004],[57.98853378793788]
78287,[1.8869288756579496],[1.0454570550224789],[1.342937162039462],[32.570479856210454],[103.67913273046776]
77892,[1.9263086385678485],[0.9799828971050594],[1.4560250746886017],[29.74712077173112],[102.75971845704936]
43296,[1.8903903957112371],[0.9861897224398044],[1.3788278345197973],[30.272729268689957],[104.9119564311316]
76824,[1.918891743595404],[0.997108391591778],[1.4780966272423566],[30.797211258101697],[99.82827878290796]
68776,[1.8552350670719933],[0.9846057558558228],[1.3796692350835424],[31.26180711174676],[102.08829003682676]
13193,[1.9466931040883415],[0.9967113582170598],[1.487389358810915],[30.130919836033115],[101.35663935213154]
24197,[1.908558641390968],[0.9829494412183934],[1.4987238186777898],[30.630627267652415],[98.39652469284486]
31662,[3.944553127722984],[0.9650770955506224],[3.703188744762684],[14.042991175453706],[97.35088196140578]
35639,[4.302817626503751],[0.9673483717908896],[3.390396505186088],[4.821645791676143],[158.04501276397212]
34910,[2.739399715896336],[2.236889765964131],[2.8891479684685217],[46.7400265560844],[63.10677767716364]
5633,[1.8686606907322605],[0.9854583063377432],[1.4027451580229815],[31.111204143306125],[101.53975057474572]
69701,[2.9795390646192974],[0.9679584192836836],[2.9812015924115016],[18.691146395241574],[80.55732394607352]
70303,[2.774886601755305],[0.9769707798240714],[2.9399949630109647],[19.408610948830518],[70.70654331625288]
70527,[1.88969072209836],[0.9801799338435568],[1.4318514857537818],[30.54878673901156],[101.50760276067408]
7358,[3.290419457500022],[0.9714301900282136],[3.107682291030494],[17.158972210228686],[92.14033198882768]
26772,[2.291931030475782],[1.5891316083564315],[1.3441173067847685],[42.61397083433235],[102.4496723763497]
25595,[0.9717046277574548],[2.660141320190537],[2.719575209511288],[76.16384083484233],[20.77407051599289]
41638,[1.851886779320216],[0.9881136231949854],[1.369235165764925],[31.41566787495324],[102.34048634481306]
25782,[1.897296554061604],[0.9792941004097556],[1.4699947971622085],[30.5928297545476],[99.59366789043402]
26134,[1.864956807505035],[0.9877813316924186],[1.360762819898495],[30.92427859020684],[104.00712954518848]
42558,[1.9405063552394788],[1.0536656639917548],[1.4922362405824003],[32.54203766823209],[97.83325995432544]
77339,[1.9080255333901932],[0.9804507999843096],[1.482409960198884],[30.447633852272464],[99.53933360307109]
38401,[1.9239867462570548],[0.9873792173802376],[1.4836913068389352],[30.32296381431363],[100.33158531861746]
34598,[2.8070596951729447],[2.5649151789008293],[1.3687424634381786],[65.60132152611511],[85.32180126702163]
8676,[4.507261669304657],[1.0144397692603546],[4.762855641275473],[12.162775258505595],[69.40926865088954]
16178,[1.8724078087982363],[0.9801207681048276],[1.405551710448205],[30.80665353507738],[101.93316805782987]
