,system_id,bulk_id,miller_index,nads,bulk_symbols,slab_sid,ads_symbols,adsorption_energy
0,13583,mp-776370,"(1, 1, 1)",2,Ag12Ir4O16,18929,O,2.108847520000009
2,793,mp-867583,"(1, 0, 0)",2,Ag12Sb12O36,29099,OH,0.18884472999995192
3,9845,mp-867583,"(1, 0, 0)",1,Ag12Sb12O36,23159,HO2,3.7220158699999484
4,33068,mp-867583,"(1, 0, 0)",1,Ag12Sb12O36,30006,HO2,4.903349400000022
5,6676,mp-867583,"(1, 1, 0)",1,Ag12Sb12O36,34337,HO2,4.26492317999998
7,40691,mp-677054,"(0, 1, 0)",9,Ag12Sb12O36,17774,O,2.6936694422222267
8,19331,mp-867583,"(1, 1, 0)",2,Ag12Sb12O36,34337,O,2.483002539999999
9,36165,mp-677054,"(0, 1, 0)",2,Ag12Sb12O36,21483,OH,1.1367495650000399
10,8080,mp-867583,"(1, 0, 0)",1,Ag12Sb12O36,23159,OH,0.2076380999999208
11,38340,mp-867583,"(1, 1, 0)",1,Ag12Sb12O36,34337,OH,1.0037715900000228
12,13431,mp-867583,"(1, 0, 0)",2,Ag12Sb12O36,29099,O,2.6878762099999824
13,19340,mp-1202934,"(1, 1, 0)",1,Ag12Sb4O16,33722,H2O,-0.6571874899999788
14,8533,mp-1202934,"(1, 0, 0)",2,Ag12Sb4O16,1234,O,1.994447349999999
15,10718,mp-1202934,"(1, 1, 0)",1,Ag12Sb4O16,33722,HO2,4.338938769999996
16,4193,mp-1202934,"(1, 1, 0)",1,Ag12Sb4O16,27475,OH,0.9432549899999947
17,8443,mp-1202934,"(1, 0, 0)",1,Ag12Sb4O16,1234,H2O,-1.0301969700000146
18,34721,mp-1202934,"(1, 1, 0)",1,Ag12Sb4O16,33722,O2,4.668826700000004
23,75261,mp-28996,"(0, 0, 1)",1,Ag16Bi8O20,68940,O2,4.95415443000001
25,77977,mp-28996,"(0, 0, 1)",1,Ag16Bi8O20,78861,O2,4.95415443000001
26,6958,mp-755127,"(1, 1, 0)",2,Ag16Ge8O32,33302,O,1.9763611250000086
27,27692,mp-755127,"(1, 0, 1)",1,Ag16Ge8O32,16682,H2O,-0.6028164200000052
28,37830,mp-755127,"(1, 1, 0)",2,Ag16Ge8O32,33302,O,2.3675544499999694
30,281,mp-11641,"(1, 1, 0)",1,Ag16Se8O32,23243,OH,3.7208931899999502
31,27541,mp-11641,"(1, 1, 0)",1,Ag16Se8O32,23243,O2,5.0235843499999575
34,6370,AgAsO4-rutile,"(2, -1, 1)",2,Ag1As1O4,40661,O,1.2657442250000175
36,44958,AgAsO4-rutile,"(1, 0, 3)",2,Ag1As1O4,80792,O,3.956649530000019
37,20739,AgAsO4-rutile,"(1, -1, 0)",1,Ag1As1O4,13262,O,2.4293292300000053
38,13607,AgAsO4-rutile,"(1, -1, 0)",1,Ag1As1O4,13262,O2,3.8732846800000047
39,42105,AgAsO4-rutile,"(2, 1, 3)",1,Ag1As1O4,45389,O2,5.043444990000005
42,82266,AgAsO4-rutile,"(0, 0, 1)",1,Ag1As1O4,81709,H2O,-10.904655679999957
44,22777,AgAsO4-rutile,"(2, -1, 1)",1,Ag1As1O4,40661,HO2,0.197941880000028
46,29760,AgAsO4-rutile,"(1, 1, 0)",1,Ag1As1O4,17689,O,3.1497088700000098
49,42457,AgAsO4-rutile,"(2, 1, 0)",1,Ag1As1O4,81127,O,3.050452739999995
50,41818,AgAuO4-rutile,"(1, 0, 0)",2,Ag1Au1O4,40957,O,3.063329469999983
51,12241,AgAuO4-rutile,"(3, 0, 1)",1,Ag1Au1O4,4284,O2,4.93523505000001
52,37555,AgAuO4-rutile,"(1, 1, 2)",1,Ag1Au1O4,21997,HO2,3.854407729999989
55,45649,AgAuO4-rutile,"(1, 0, 0)",3,Ag1Au1O4,40957,H2O,-0.792561436666683
56,1290,AgAuO4-rutile,"(2, 1, 3)",1,Ag1Au1O4,3675,H2O,-1.0292833999999915
57,14839,AgAuO4-rutile,"(1, 0, 1)",2,Ag1Au1O4,28245,O,3.3776337599999784
58,9003,AgGeO4-rutile,"(3, 0, 1)",2,Ag1Ge1O4,13624,O,2.4999272800000063
60,43443,AgHgO4-rutile,"(1, 1, 0)",2,Ag1Hg1O4,44232,O,2.4890542799999884
61,44742,AgHgO4-rutile,"(1, 1, 0)",4,Ag1Hg1O4,41568,O,2.4868444000000003
62,43791,AgHgO4-rutile,"(2, 1, 2)",2,Ag1Hg1O4,44989,H2O,-1.4472627250000103
65,30138,AgHgO4-rutile,"(1, 1, 2)",1,Ag1Hg1O4,17936,O2,2.804826079999991
67,17724,AgHgO4-rutile,"(1, 1, 2)",2,Ag1Hg1O4,80167,O,2.4937863499999913
69,11080,AgIrO4-rutile,"(2, 0, 1)",2,Ag1Ir1O4,30017,O,3.3938564250000076
70,3998,AgIrO4-rutile,"(1, 0, 1)",10,Ag1Ir1O4,80539,O,2.008317572999998
72,4177,AgIrO4-rutile,"(2, 1, 1)",2,Ag1Ir1O4,24871,O,1.792008624999992
74,40980,AgIrO4-rutile,"(2, 0, 1)",2,Ag1Ir1O4,43993,O,2.1371871749999922
75,24729,AgIrO4-rutile,"(2, 1, 3)",2,Ag1Ir1O4,34579,O,2.5670497250000013
76,38233,AgIrO4-rutile,"(2, 1, 1)",1,Ag1Ir1O4,24871,HO2,3.7230514400000043
80,29995,AgIrO4-rutile,"(2, 1, 3)",2,Ag1Ir1O4,34579,O,2.0213194249999993
81,44110,AgIrO4-rutile,"(2, 1, 2)",1,Ag1Ir1O4,44304,OH,0.6873171899999966
82,5139,mp-997039,"(1, 2, 0)",1,Ag1Pd1O2,17294,O,1.391156739999983
86,45430,mp-997039,"(1, 2, 0)",1,Ag1Pd1O2,45004,O,0.5122245699999983
87,39578,mp-997039,"(1, 2, 0)",1,Ag1Pd1O2,17294,HO2,2.6321416399999844
88,5978,mp-997039,"(0, 1, 3)",1,Ag1Pd1O2,38702,H2O,-0.8490290199999837
90,42672,mp-997039,"(1, 0, 0)",4,Ag1Pd1O2,44382,O,2.6860346025000132
91,42160,mp-997039,"(1, 3, 3)",1,Ag1Pd1O2,43020,O,3.3651549900000055
92,44881,mp-997039,"(2, 1, 1)",1,Ag1Pd1O2,45966,H2O,-1.7149403300000134
93,35328,mp-997039,"(1, 2, 0)",1,Ag1Pd1O2,17294,O2,3.115478319999987
96,43215,mp-997039,"(1, 0, 0)",1,Ag1Pd1O2,44382,O,1.144204210000024
97,42015,mp-997039,"(1, 2, 0)",1,Ag1Pd1O2,45004,H2O,-3.4839357899999985
99,44600,mp-997039,"(1, 2, 0)",2,Ag1Pd1O2,45004,O,0.7238918100000096
104,22169,mp-997039,"(1, 0, 1)",1,Ag1Pd1O2,22514,H2O,-0.9481553500000306
105,43090,mp-997039,"(1, 0, 0)",1,Ag1Pd1O2,44382,H2O,-0.9483091999999776
108,39169,AgPdO4-rutile,"(1, 0, 1)",2,Ag1Pd1O4,3127,O,3.542092725000001
109,25717,AgPdO4-rutile,"(1, 0, 1)",1,Ag1Pd1O4,31363,H2O,-0.5947523400000083
110,24835,AgPdO4-rutile,"(2, 1, 2)",1,Ag1Pd1O4,31481,OH,0.6105041800000015
112,3942,AgPdO4-rutile,"(1, 0, 1)",8,Ag1Pd1O4,31363,O,2.5530928987499997
113,11752,AgPdO4-rutile,"(1, 0, 1)",1,Ag1Pd1O4,31363,HO2,6.201761410000015
