,filename,entry number,composition,OH lengths,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
78202,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,77,H8Ag18Nb20O66,"[1.5370638412752886, 0.9724426814718458, 1.0090236877860075, 1.0240922424868775, 0.9749292430671769, 7.71451197931393, 0.9736110792456035, 0.9762185988753228]",mp-12725,"(3, 2, 0)",8,NbAgO3_mp-12725_v5H6GsxCnq_wwRcvF5rlr,Nb1Ag1O3,76355,OH,-781.56372506,112,8,0.7028257437499974
34083,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,79,H2O64Rh48,"[0.978262325647888, 0.9757906753669501]",mp-1716,"(1, 2, 1)",2,Rh2O3_mp-1716_UutKNxOg02_5BGsNnGEvc,Rh8O12,14681,OH,-720.5542496,114,2,0.2865121600000009
82967,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,85,HO33Ru12Sr12,[0.9705013526675553],mp-4525,"(1, 0, 0)",1,1012805_SrRuO3_mp-4525_9ZJoUG32rK_aMoI5vMF5z,Sr4Ru4O12,82521,OH,-390.7155733,58,1,-1.7199389300000405
10596,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,92,H2Ca8Mo36O66,"[0.9703452635887551, 0.9702538096893002]",mvc-9161,"(1, 0, 1)",2,Ca-MoO2-4_mvc-9161_2OU3ikM85V_3DQRXsntQa,Ca3Mo12O24,9449,OH,-784.60123226,112,2,-1.923509375000009
1332,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,105,HCo18Ni18O55,[0.9753466414615806],mp-1279343,"(2, 1, -1)",1,CoNiO3_mp-1279343_He7eqc16UW_u8zS2so2V4,Co2Ni2O6,79079,OH,-476.35485163,92,1,-2.5381604099999606
3507,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,116,HBe32Na24O39,[0.9732891925048771],mp-28559,"(0, 0, 1)",1,Na6Be8O11_mp-28559_prBxw9hjHM_C6kzzMEy4c,Na6Be8O11,9911,OH,-532.05146913,96,1,-2.4301449500000274
27812,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,127,H2Li48O50Pt24,"[0.9787349133386178, 0.9698473099457741]",mp-1177862,"(1, 3, 1)",2,Li2PtO2_mp-1177862_W2yc7rrg7O_wAXTcoDWrA,Li4Pt2O4,31559,OH,-643.97465611,124,2,0.0366636250000453
34223,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,142,HMn16O61Sr28,[0.9726160064358068],mp-1218641,"(0, 1, 0)",1,Sr7Mn4O15_mp-1218641_P3aBF5cJIk_qMGSoK4ORr,Sr14Mn8O30,12047,OH,-696.60566888,106,1,1.2252611899999408
35601,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,168,HAg18Cu9O19,[0.9761956094250455],mp-1178387,"(1, 2, 1)",1,Cu-AgO-2_mp-1178387_lZuneaHRdv_nQAavwMNck,Cu2Ag4O4,3266,OH,-189.45463424,47,1,0.3134606899999994
74547,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,171,H4Hf48O100,"[0.9709997270958426, 0.9691901681263052, 3.536490106465682, 0.9648412869862273]",mp-550893,"(1, 1, 0)",4,HfO2_mp-550893_0LJ1FBqGKM_OPeRy0ZB4t,Hf4O8,75237,OH,-1472.82796479,152,4,1.150095792500025
