,filename,entry number,composition,OH_length 1,OH_length 2,OO_length,OOH angle 1,OOH angle 2,OH_length 1b,OH_length 2b,OO_lengthb,OOH angle 1b,OOH angle 2b,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
33402,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,20,HGa16O32Ti4,1.9102901381063186,0.9807893962183833,1.4920864784480874,30.465361194957268,99.06103185051138,,,,,,mp-553991,"(1, 1, -1)",1,Ti-GaO2-4_mp-553991_ZhG633TWcL_fQ6TubwoTI,Ti2Ga8O16,24715,HO2,-336.38894252,53,1,2.727762389999977
77193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,31,HBa12Cs12O22,2.9653589525956883,2.244158516438905,1.307191371544584,45.16749275393199,110.43390390438292,,,,,,mp-754272,"(0, 1, 0)",1,Cs2Ba2O3_mp-754272_TDjPIzG2VO_TV0ukVxiL6,Cs4Ba4O6,73903,HO2,-220.66556301,47,1,1.719376680000007
78328,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,63,HO34Sn12Zn8,3.27011377219027,2.199696160138834,1.30545870094433,27.704110848795448,136.2797228661158,,,,,,mvc-14010,"(1, 1, 0)",1,Zn2Sn3O8_mvc-14010_vYE6h4h28e_ng0YYRxqPe,Zn4Sn6O16,74488,HO2,-299.17762206,55,1,3.5088671600000474
5513,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,82,HNb36O38,7.917206387673584,0.9770025248221644,7.219026033003928,5.181316256412119,132.9611813305163,,,,,,mp-2311,"(2, 1, 1)",1,NbO_mp-2311_S8WMbWOiax_zW8spGCx7h,Nb3O3,23502,HO2,-679.98484255,75,1,-4.127869040000039
78287,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,98,HCr8O34Sb8,7.301781254662603,8.59395054045409,1.342937162039462,162.81873443068508,14.535545061831895,,,,,,mp-754974,"(2, 1, 1)",1,CrSbO4_mp-754974_cdl5YAFn1R_5CfIHAyHb2,Cr1Sb1O4,76680,HO2,-335.55057422,51,1,4.077569520000022
77892,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,99,HCd30O88Se30,1.9263086385678483,0.9799828971050594,1.4560250746886017,29.747120771731122,102.75971845704936,,,,,,mp-559203,"(1, 0, 1)",1,CdSeO3_mp-559203_gsUZ6Ni4wF_iGvGFQFx7z,Cd8Se8O24,76564,HO2,-698.833503,149,1,3.118998059999992
43296,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,159,HLi24O46Sn11,8.867005138666748,9.722415895221719,1.3788278345197973,124.92923100837682,48.39376632036006,,,,,,mp-1222981,"(1, 2, 3)",1,904239835_Li2SnO4_mp-1222981_OAtNmTSK9S_Fw7xj7WC8A,Li2Sn1O4,41782,HO2,-436.44857924,82,1,4.597971459999965
76824,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,167,HCa48Mo32O114,1.918891743595404,0.9971083915917779,1.4780966272423566,30.797211258101697,99.82827878290796,,,,,,mvc-3696,"(1, 0, 0)",1,Ca3Mo2O7_mvc-3696_oexdxojqiJ_6NlDYXWk8O,Ca12Mo8O28,70344,HO2,-1328.91084163,195,1,2.059500709999977
68776,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,170,HAl66Cd2O104,1.8552350670719935,0.9846057558558227,1.3796692350835424,31.261807111746762,102.08829003682676,,,,,,mp-674298,"(1, 0, 0)",1,Al22CdO34_mp-674298_Qhyyvz9GGi_V9DvpbHe7y,Al44Cd2O68,71071,HO2,-1241.77552516,173,1,4.30285121000011
13193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,187,HHg12O34V12,1.9466931040883417,0.9967113582170598,1.487389358810915,30.130919836033115,101.35663935213154,,,,,,mp-29188,"(1, -2, 1)",1,VHgO3_mp-29188_TkGRttTEFw_BA9PG4CiI8,V2Hg2O6,18549,HO2,-333.48220125,59,1,4.007543229999978
24197,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,202,HO58Ti8W16,1.9085586413909674,0.9829494412183934,1.4987238186777898,30.630627267652404,98.39652469284486,,,,,,mvc-678,"(0, 1, 1)",1,Ti-WO4-2_mvc-678_tAVpYvwdJl_aFlmN7lvOK,Ti1W2O8,34682,HO2,-631.09970742,83,1,-0.3542757099999996
31662,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,208,HO52Si16Zr16,6.807804719746369,0.9650770955506225,6.447098138953888,7.747397189197096,108.02121732040253,,,,,,mp-11736,"(0, 0, 1)",1,ZrSiO4_mp-11736_0Hqhfgiuw2_MUhIQu9zLE,Zr4Si4O16,19689,HO2,-700.92376177,85,1,-5.913430760000072
