,filename,entry number
78202,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,77
34083,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,79
82967,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,85
10596,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,92
1332,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,105
3507,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,116
27812,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,127
34223,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,142
35601,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,168
74547,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,171
28093,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,201
37466,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,209
26764,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,211
33927,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,213
1289,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,234
25897,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,241
72600,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,246
70617,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,289
8645,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,294
3726,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,296
2064,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,301
40001,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,321
6722,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,335
121,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,344
16167,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,346
19932,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,366
32583,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,373
8813,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,384
556,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,396
23148,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,410
83196,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,442
28118,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,452
3803,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,454
26959,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,478
69143,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,490
2681,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,493
44634,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,510
36755,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,545
76172,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,547
42984,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,552
38823,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,568
24939,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,586
70540,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,630
18875,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,649
23480,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,656
10945,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,662
72477,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,669
25692,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,684
43832,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,694
77311,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,702
