,filename,entry number
33402,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,20
77193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,31
78328,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,63
5513,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,82
78287,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,98
77892,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,99
43296,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,159
76824,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,167
68776,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,170
13193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,187
24197,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,202
31662,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,208
35639,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,251
34910,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,252
5633,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,262
69701,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,281
70303,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,282
70527,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,303
7358,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,312
26772,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,314
25595,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,318
41638,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,331
25782,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,338
26134,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,352
42558,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,391
77339,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,402
38401,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,406
34598,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,421
8676,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,426
16178,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,437
41876,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,438
16123,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,439
12700,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,440
13516,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,449
71329,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,459
39415,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,470
22561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,503
32078,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,531
12591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,533
82361,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,558
18612,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,559
31561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,561
14644,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,564
45459,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,606
26301,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,624
38985,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,633
9780,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,655
4818,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,668
1203,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,689
15075,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,714
36804,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,725
11293,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,743
32779,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,752
7262,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,757
20200,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,762
14267,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,778
7536,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,789
76648,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,801
36253,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,811
83265,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,822
663,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,826
34484,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,833
8854,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,851
42139,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,867
6935,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,880
33591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,887
21029,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,907
38362,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,911
1889,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,930
32495,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,946
24915,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,951
17539,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,954
69487,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,955
71452,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,957
208,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,983
2395,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,994
16835,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1034
30163,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1052
38537,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1066
32194,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1078
22855,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1103
28058,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1110
73598,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,23
28051,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,34
73412,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,36
36471,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,43
11264,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,54
17301,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,58
24639,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,72
33491,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,89
77989,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,105
6487,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,153
15627,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,185
34958,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,198
72187,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,255
14513,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,265
26377,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,272
25254,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,286
