,filename,entry number,composition,nads,OH_length 1,OH_length 2,OO_length,OOH angle 1,OOH angle 2,OH_length 1b,OH_length 2b,OO_lengthb,OOH angle 1b,OOH angle 2b,slab_sid,system_id_OH,OH,system_id_O,O,bulk_id,miller_index,bulk_symbols,HO2,delG1,delG2,delG3,delG4,maxG,RDS,eta,OOHangle,OH_length
7067,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,68,HAg8K8O16,1,1.911884001529765,0.9801715745723192,1.4554695829215318,30.139777489240124,101.65028852920886,,,,,,12893,28744,1.1364389699999953,7306,2.5788413875,mp-997102,"(0, 1, 1)",K4Ag4O8,3.771358059999995,1.1364389699999953,1.442402417500005,1.1925166724999947,1.148641940000005,1.442402417500005,2,0.212402417500005,101.65028852920886,0.9801715745723192
145,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0013.lmdb,1025,HBa16Ca16O38,1,1.907996291768496,0.9788604227900556,1.4645391467034592,30.2608856152105,100.80315781752051,,,,,,16188,4481,0.9283012612500008,19753,2.1743943550000018,mp-1018097,"(2, 1, 3)",Ba1Ca1O2,3.674187799999968,0.9283012612500008,1.246093093750001,1.4997934449999666,1.2458122000000316,1.4997934449999666,3,0.2697934449999666,100.80315781752051,0.9788604227900556
6568,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,685,HAu12O24Pd12,1,1.882900904145352,0.9856808404330196,1.4023578877527991,30.71114871020132,102.68650164564578,,,,,,28946,14596,1.0906745499999977,16417,2.6063631749999963,mp-997051,"(1, 0, -2)",Pd3Au3O6,4.010796730000008,1.0906745499999977,1.5156886249999986,1.4044335550000118,0.909203269999992,1.5156886249999986,2,0.2856886249999986,102.68650164564578,0.9856808404330196
7096,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,144,HAu12O22Pd12,1,1.8976781733940005,0.9836243941235044,1.4340640153511302,30.488720632985643,101.804350357762,,,,,,38650,40768,1.5297494199999966,15894,2.3495955900000047,mp-997051,"(1, 0, -2)",Pd3Au3O6,3.641608020000005,1.5297494199999966,0.8198461700000081,1.2920124299999998,1.2783919799999954,1.5297494199999966,1,0.2997494199999966,101.804350357762,0.9836243941235044
16356,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,928,HO50Rh16Sc16,1,1.9371237237371957,0.98435961013125,1.4778878892313094,29.81873062800903,101.88734665046124,,,,,,7966,31641,1.089624569999993,20316,2.371866647500002,mp-1196890,"(1, 1, -1)",Sc8Rh8O24,3.3899191000000406,1.089624569999993,1.282242077500009,1.0180524525000387,1.530080899999959,1.530080899999959,4,0.3000808999999593,101.88734665046124,0.98435961013125
69894,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0037.lmdb,868,HGe16O46Sb8,1,1.9557961788913376,1.0731667879197595,1.3374678626448315,31.46697276442056,107.94861512159524,,,,,,72363,74668,1.573806354999997,73547,2.704763132500003,mp-17708,"(1, 0, 0)",Ge6Sb4O18,3.917907780000005,1.573806354999997,1.1309567775000062,1.2131446475000018,1.0020922199999949,1.573806354999997,1,0.343806354999997,107.94861512159524,1.0731667879197595
27728,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,886,HAg22Hg22O50,1,1.8987854540207427,0.980134246033016,1.4591973649431809,30.51337210468627,100.3817897552527,,,,,,31506,1798,1.4755448199999626,33587,2.2859028649999944,mp-997000,"(2, 1, 0)",Ag2Hg2O4,3.8797418099999823,1.4755448199999626,0.8103580450000318,1.593838944999988,1.0402581900000176,1.593838944999988,3,0.3638389449999879,100.3817897552527,0.980134246033016
17742,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,279,HAg12Cr12O44,1,1.9482208700535728,1.0009617338399877,1.446567108662617,29.900737203636723,104.01015729661653,,,,,,23602,23278,1.5374368899999615,35031,1.790795279999967,mp-562364,"(1, -1, -1)",Cr4Ag4O14,3.32238773,1.5374368899999615,0.2533583900000051,1.5315924500000333,1.59761227,1.59761227,4,0.3676122699999999,104.01015729661653,1.0009617338399877
13140,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,565,HAg6Cr15O42,1,1.8940722653401725,0.9836281706113564,1.4437546159319272,30.66405685629141,100.86882480612064,,,,,,28709,22731,1.6222955599999784,16673,2.295969009999991,mp-546111,"(0, 2, 1)",Cr6Ag2O16,3.5021046900000083,1.6222955599999784,0.6736734500000126,1.2061356800000174,1.4178953099999916,1.6222955599999784,1,0.3922955599999784,100.86882480612064,0.9836281706113564
71752,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,29,HCs20O38,1,1.9227513841030464,0.9742535807887784,1.4922497451351222,29.900640091005464,100.32198370045292,,,,,,74960,69748,0.4990456699999958,75506,2.128449020000003,mp-1181502,"(2, 2, 3)",Cs2O4,3.7083761199999934,0.4990456699999958,1.6294033500000071,1.579927099999992,1.2116238800000052,1.6294033500000071,2,0.3994033500000071,100.32198370045292,0.9742535807887784
