slab_sid,system_id_OH,OH,system_id_O,O,system_id_HO2,bulk_id,miller_index,nads,bulk_symbols,HO2,delG1,delG2,delG3,delG4,maxG,RDS,eta
82331,81630,1.3497683399999991,82233,2.6869348099999946,81911,BiPtO4-rutile,"(2, 0, 1)",1,Bi1Pt1O4,3.7101639599999863,1.3497683399999991,1.3371664699999954,1.0232291499999917,1.2098360400000137,1.3497683399999991,1,0.11976833999999914
77702,76570,1.292586450000025,77877,2.4747072650000326,69360,mp-1018721,"(3, 0, 1)",1,Hf2O4,3.8286752499999444,1.292586450000025,1.1821208150000075,1.3539679849999118,1.0913247500000556,1.3539679849999118,3,0.1239679849999118
77702,76570,1.292586450000025,74717,2.4474194574999877,69360,mp-1018721,"(3, 0, 1)",1,Hf2O4,3.8286752499999444,1.292586450000025,1.1548330074999626,1.3812557924999567,1.0913247500000556,1.3812557924999567,3,0.1512557924999567
14358,15345,1.160439743333332,29653,2.4715069600000255,20016,mp-18288,"(1, 1, 1)",1,Ti4Sn8O16,3.855039500000087,1.160439743333332,1.3110672166666935,1.3835325400000618,1.0649604999999127,1.3835325400000618,3,0.15353254000006178
23964,19718,1.3968654199999924,10802,2.7257959400000003,12591,mp-1093993,"(2, 0, 1)",1,Zn4O4,3.6372306799999854,1.3968654199999924,1.3289305200000079,0.9114347399999851,1.2827693200000145,1.3968654199999924,1,0.16686541999999238
12622,26936,0.9052860066666611,25401,2.3286371949999967,34581,mp-766417,"(1, -1, 0)",1,Ba10Cu5O17,3.6069144400000233,0.9052860066666611,1.4233511883333354,1.2782772450000266,1.3130855599999767,1.4233511883333354,2,0.19335118833333542
12893,28744,1.1364389699999953,7306,2.5788413875000002,7067,mp-997102,"(0, 1, 1)",1,K4Ag4O8,3.771358059999995,1.1364389699999953,1.442402417500005,1.1925166724999947,1.148641940000005,1.442402417500005,2,0.212402417500005
75840,72014,1.4683434199999772,77405,2.3189106899999934,70767,mp-984356,"(2, 1, 0)",1,Cs1Ir1O3,3.4851857799999926,1.4683434199999772,0.8505672700000162,1.1662750899999992,1.4348142200000074,1.4683434199999772,1,0.2383434199999772
21108,37923,1.2594706549999537,24986,2.57452945999992,1718,mp-1221988,"(1, 1, 1)",1,Mn10Cr2O16,4.054550389999915,1.2594706549999537,1.3150588049999663,1.480020929999995,0.865449610000085,1.480020929999995,3,0.2500209299999949
76990,76252,0.9780712999999912,77993,2.3936417314285707,70146,mp-754800,"(2, 2, 1)",1,Ni12O16,3.8770721099999697,0.9780712999999912,1.4155704314285795,1.483430378571399,1.0429278900000303,1.483430378571399,3,0.25343037857139894
69565,72200,1.4126977350000038,76974,2.6551141950000083,72354,mp-1183290,"(2, 1, 1)",1,Ba1Pt1O3,3.4352698000000124,1.4126977350000038,1.2424164600000045,0.780155605000004,1.4847301999999876,1.4847301999999876,4,0.2547301999999876
79790,19559,0.921044300000043,37594,2.111768792499999,31358,mp-19372,"(1, 2, 0)",1,W4O8,3.420550700000033,0.921044300000043,1.190724492499956,1.308781907500034,1.499449299999967,1.499449299999967,4,0.2694492999999669
16188,4481,0.9283012612500008,19753,2.1743943550000018,145,mp-1018097,"(2, 1, 3)",1,Ba1Ca1O2,3.6741877999999684,0.9283012612500008,1.246093093750001,1.4997934449999666,1.2458122000000316,1.4997934449999666,3,0.2697934449999666
28946,14596,1.0906745499999977,16417,2.6063631749999963,6568,mp-997051,"(1, 0, -2)",1,Pd3Au3O6,4.010796730000008,1.0906745499999977,1.5156886249999986,1.4044335550000118,0.9092032699999919,1.5156886249999986,2,0.2856886249999986
38650,40768,1.5297494199999966,15894,2.3495955900000047,7096,mp-997051,"(1, 0, -2)",1,Pd3Au3O6,3.6416080200000045,1.5297494199999966,0.8198461700000081,1.2920124299999998,1.2783919799999954,1.5297494199999966,1,0.2997494199999966
7966,31641,1.089624569999993,20316,2.371866647500002,16356,mp-1196890,"(1, 1, -1)",1,Sc8Rh8O24,3.3899191000000406,1.089624569999993,1.282242077500009,1.0180524525000387,1.5300808999999593,1.5300808999999593,4,0.30008089999995935
20745,27303,1.5622182499999817,28530,3.113752779999996,34078,mp-997082,"(1, 0, 1)",1,Bi2Au2O4,3.5045446899999866,1.5622182499999817,1.5515345300000143,0.3907919099999906,1.4154553100000133,1.5622182499999817,1,0.33221824999998173
72363,74668,1.573806354999997,73547,2.704763132500003,69894,mp-17708,"(1, 0, 0)",1,Ge6Sb4O18,3.917907780000005,1.573806354999997,1.1309567775000062,1.2131446475000018,1.0020922199999949,1.573806354999997,1,0.343806354999997
73125,73158,0.8388828149999574,74357,1.7719737349999864,71607,mp-1181917,"(2, 1, 0)",1,Ca4Rh4O12,3.333805399999958,0.8388828149999574,0.933090920000029,1.5618316649999715,1.586194600000042,1.586194600000042,4,0.356194600000042
31506,1798,1.4755448199999626,33587,2.2859028649999944,27728,mp-997000,"(2, 1, 0)",1,Ag2Hg2O4,3.8797418099999823,1.4755448199999626,0.8103580450000318,1.593838944999988,1.0402581900000176,1.593838944999988,3,0.3638389449999879
